name,price,img
American Garden Louisiana Style Hot Sauce - 88 ml,14.00,https://cf1.s3.souqcdn.com/item/2017/12/14/29/51/45/41/item_L_29514541_85746690.jpg
American Garden Habanero and Tabasco Peper Hot Sauce - 58 ml,23.50,https://cf4.s3.souqcdn.com/item/2017/12/14/29/51/45/13/item_L_29514513_85746621.jpg
American Garden Hot Sauce - 177 ml,21.00,https://cf3.s3.souqcdn.com/item/2017/12/14/29/51/44/55/item_L_29514455_85746539.jpg
أرز بسمتي أبيض فاخر من دريا - 5 كجم,342.00,https://cf3.s3.souqcdn.com/item/2018/10/03/39/15/75/11/item_L_39157511_152085041.jpg
فانيليا من ابو علي - 60 غم,72.00,https://cf4.s3.souqcdn.com/item/2018/08/30/37/56/08/93/item_L_37560893_146349340.jpg
ذرة حلوة من دريا - 340 جم,24.50,https://cf4.s3.souqcdn.com/item/2018/10/03/39/15/74/83/item_L_39157483_152085010.jpg
بهارات الشوي على الطريقة الجاماكي من ابو علي- 125 جم,33.00,https://cf2.s3.souqcdn.com/item/2018/09/02/37/63/34/62/item_L_37633462_146491304.jpg
زعتر محوج درجة اولى من دريا - 350 جم,30.00,https://cf4.s3.souqcdn.com/item/2020/07/28/13/15/99/44/9/item_L_131599449_a7c9029bcbedf.jpg
صلصة الطماطم من كنور - 50 جرام، 24 كيس,35.95,https://cf5.s3.souqcdn.com/item/2021/01/18/43/73/53/34/item_L_43735334_a7f5ddba4f223.jpg
صويا صوص غامق بريميوم من هاينز - 150 مل,24.95,https://cf3.s3.souqcdn.com/item/2019/04/28/53/24/11/90/item_L_53241190_bf5c17082d84b.jpg
صويا صوص فاتح بريميوم من هاينز - 150 جم,24.95,https://cf3.s3.souqcdn.com/item/2019/04/28/53/24/11/91/item_L_53241191_ec86af2d7ad68.jpg
هيل من ابو علي - 55 جم,80.00,https://cf5.s3.souqcdn.com/item/2018/08/30/37/56/07/18/item_L_37560718_146348843.jpg
حبوب الفطار بالشوفان من لينو، 150 جرام,18.00,https://cf1.s3.souqcdn.com/item/2020/10/05/13/17/86/21/6/item_L_131786216_10191c67e3b1d.jpg
